tweet text,location
RT @AddInfoOrg: Donald Trump Just Told His Fans They’re Stupid TO THEIR FACES – And They Cheered (VIDEO) https://t.co/gQ27vLyVg5 https://t.…,CA
How is this piece of shit still leading in polls? https://t.co/iXYxfKmFFQ,AZ
Iowa Rep @ChuckGrassley speaking in support of @realDonaldTrump  https://t.co/id48ew7gwU,WI
Travesty: Leaked Emails Reveal Republican Officials Made Fun Of Poisoned Flint Residents - https://t.co/cTSVWpi40t #FlintWaterCrisis,MI
"RT @SexiestPatriot: #KarlRove said that ""Trump doesn't have a chance in hell of becoming president""
Retweet if you think Karl Rove SUCKS ht…",OH
"RT @BettyBowers: Donald Trump bragged that he could shoot someone on 5th Ave and not lose a voter. Yeah, but if he shot someone in a traile…",MA
"2500+ fired up @tedcruz supporters in Ankeny, ia #cbn2016 #iowa2016 https://t.co/j2mb4y87ca",WA
"RT @TheTweetOfGod: And if elected, he will. Repeatedly. https://t.co/21ySjL44nA",CA
@glennbeck @robdelaney @HillaryClinton lol you guys are funny.,OH
"RT @adammcginnis: Grrr, the people of Iowa deserve better representation than this https://t.co/j0Q10hiFvF",HI
